model,seed,return_type,method,forward,backward,zumbach
primary,1310021,ito,spearman,0.1751886909223504,0.1725404688219474,0.002648222100403009
primary,1370003,ito,spearman,0.18958324616999792,0.168393901476576,0.021189344693421902
primary,1230001,ito,trim_950,0.0820311393519461,0.11718458587108366,-0.03515344651913756
primary,1270009,ito,trim_950,0.12493019062387845,0.10353579584698919,0.021394394776889248
primary,1290017,ito,trim_950,0.11408804885821729,0.16094153397028843,-0.04685348511207114
primary,1310021,ito,trim_950,0.12142757590751982,0.14144539087328212,-0.02001781496576231
primary,1370003,ito,trim_950,0.14749179708303753,0.1351030631082878,0.012388733974749745
primary,1230001,ito,trim_975,0.11935302488415417,0.12995495559259726,-0.01060193070844311
primary,1270009,ito,trim_975,0.16121310830554683,0.11194029450896038,0.04927281379658646
primary,1290017,ito,trim_975,0.152194003815178,0.16463212949379125,-0.012438125678613196
primary,1310021,ito,trim_975,0.16006515503480706,0.13896668083495137,0.02109847419985569
primary,1370003,ito,trim_975,0.1962507064321242,0.1468573309087754,0.049393375523348784
primary,1230001,ito,trim_990,0.1706782578841426,0.1361679297583303,0.034510328125812305
primary,1270009,ito,trim_990,0.20177681111321555,0.11051425835799517,0.0912625527552204
primary,1290017,ito,trim_990,0.21571274159459264,0.17709102196303572,0.038621719631556924
primary,1310021,ito,trim_990,0.21296605993670487,0.14244600713929786,0.070520052797407
primary,1370003,ito,trim_990,0.2326187514283952,0.15493411122893813,0.07768464019945706
primary,1230001,ito,trim_995,0.21152092790014276,0.1389174426137445,0.07260348528639828
primary,1270009,ito,trim_995,0.2257516281517949,0.11043137521180477,0.1153202529399901
primary,1290017,ito,trim_995,0.2561428170065208,0.18593303037135298,0.07020978663516785
primary,1310021,ito,trim_995,0.23102399941964466,0.14180890556032913,0.08921509385931552
primary,1370003,ito,trim_995,0.2463205506592436,0.15388190607776447,0.09243864458147913
primary,1230001,ito,winsor_950,0.20233773108842376,0.1703118212207814,0.032025909867642366
primary,1270009,ito,winsor_950,0.23479488765532963,0.138094783809059,0.09670010384627062
primary,1290017,ito,winsor_950,0.24747112915988875,0.2266631735369916,0.020807955622897154
primary,1310021,ito,winsor_950,0.2422584143575524,0.17688586112896398,0.06537255322858844
primary,1370003,ito,winsor_950,0.26424879332019574,0.18753479537370024,0.07671399794649544
primary,1230001,ito,winsor_975,0.23348346554285662,0.1683529425247813,0.06513052301807529
primary,1270009,ito,winsor_975,0.24960634277064653,0.1302634012558307,0.11934294151481582
primary,1290017,ito,winsor_975,0.2842661503813991,0.22030928713778547,0.06395686324361358
primary,1310021,ito,winsor_975,0.2627960277424108,0.16733908165979444,0.09545694608261637
primary,1370003,ito,winsor_975,0.27507119983353806,0.17678373148487153,0.09828746834866654
primary,1230001,ito,winsor_990,0.2591637349681728,0.15832436776418415,0.1008393672039886
primary,1270009,ito,winsor_990,0.2661309444515498,0.1185846699287316,0.14754627452281818
primary,1290017,ito,winsor_990,0.3081393706978807,0.20633684278077344,0.10180252791710728
primary,1310021,ito,winsor_990,0.2723191659750748,0.1588197889958928,0.11349937697918196
primary,1370003,ito,winsor_990,0.27760037403293647,0.15863601453771722,0.11896435949521927
primary,1230001,ito,winsor_995,0.2627691344896179,0.14895409852140545,0.11381503596821246
primary,1270009,ito,winsor_995,0.27244491473648763,0.11245005927923055,0.15999485545725708
primary,1290017,ito,winsor_995,0.30955701230618454,0.19492576956905336,0.11463124273713118
primary,1310021,ito,winsor_995,0.2710958045349121,0.15393539402170262,0.11716041051320951
primary,1370003,ito,winsor_995,0.2711538871543816,0.14803874086533075,0.12311514628905083
primary,1230001,log,gaussian_rank,0.1573263717944471,0.17182946653158737,-0.014503094737140268
primary,1270009,log,gaussian_rank,0.19741497646828693,0.14856522625695043,0.04884975021133652
primary,1290017,log,gaussian_rank,0.19990814580992525,0.21296732956343875,-0.013059183753513509
primary,1310021,log,gaussian_rank,0.20006674356444798,0.17040437174795883,0.029662371816489133
primary,1370003,log,gaussian_rank,0.21084654528174462,0.1661703829640154,0.044676162317729216
primary,1230001,log,kendall,0.09011548436037789,0.1161122148939077,-0.025996730533529813
primary,1270009,log,kendall,0.11981587805484667,0.09861546551414568,0.021200412540700972
primary,1290017,log,kendall,0.11551400249393401,0.14100411123134138,-0.025490108737407372
primary,1310021,log,kendall,0.12080943034102093,0.11440789397980068,0.006401536361220248
primary,1370003,log,kendall,0.13008327489666233,0.11107099871696974,0.019012276179692568
primary,1230001,log,pearson,0.258803746147353,0.1335151140956969,0.12528863205165608
primary,1270009,log,pearson,0.27104315842800303,0.1002746799206608,0.1707684785073422
primary,1290017,log,pearson,0.30161307992499,0.1792358876022906,0.12237719232269935
primary,1310021,log,pearson,0.2605613071028674,0.1372694427596236,0.12329186434324375
primary,1370003,log,pearson,0.2605511648544359,0.13403748454719677,0.12651368030723914
primary,1230001,log,spearman,0.1341866712889302,0.17282884773922721,-0.038642176450297036
primary,1270009,log,spearman,0.17751894729865367,0.146661712090818,0.03085723520783567
primary,1290017,log,spearman,0.17118403166106808,0.20912393549428493,-0.037939903833216854
primary,1310021,log,spearman,0.17890020201584364,0.17065803158327278,0.00824217043257084
primary,1370003,log,spearman,0.1924000086435783,0.16585719633390647,0.026542812309671843
primary,1230001,log,trim_950,0.08392532431177052,0.11371353386309531,-0.029788209551324798
primary,1270009,log,trim_950,0.13070126291795925,0.10117212384196829,0.02952913907599098
primary,1290017,log,trim_950,0.11568419455591357,0.15847678003139257,-0.042792585475478984
