model,seed,path,return_type,window,direction,decile,mean_standardized_response,count
primary,1230001,1,ito,10,backward,2,-0.1678544987730095,124
primary,1230001,1,ito,10,backward,3,-0.12397255505188516,124
primary,1230001,1,ito,10,backward,4,-0.0003760079762798501,124
primary,1230001,1,ito,10,backward,5,0.041467562283584024,124
primary,1230001,1,ito,10,backward,6,0.06136071467726102,124
primary,1230001,1,ito,10,backward,7,-0.03903061729595801,124
primary,1230001,1,ito,10,backward,8,-0.013353980687271725,124
primary,1230001,1,ito,10,backward,9,-0.013389892649590333,124
primary,1230001,1,ito,10,backward,10,-0.07425269499181705,124
primary,1230001,1,ito,20,forward,1,-0.06226655449928557,122
primary,1230001,1,ito,20,forward,2,-0.030534850296144923,122
primary,1230001,1,ito,20,forward,3,-0.01146719309137637,122
primary,1230001,1,ito,20,forward,4,-0.027474583035801914,122
primary,1230001,1,ito,20,forward,5,-0.09459759855858249,122
primary,1230001,1,ito,20,forward,6,-0.007811267190502124,122
primary,1230001,1,ito,20,forward,7,0.07044626998731161,122
primary,1230001,1,ito,20,forward,8,-0.08208668242758689,122
primary,1230001,1,ito,20,forward,9,0.15185563093735444,122
primary,1230001,1,ito,20,forward,10,0.09393682817461649,122
primary,1230001,1,ito,20,backward,1,0.22878889111152978,122
primary,1230001,1,ito,20,backward,2,-0.13450655223615776,122
primary,1230001,1,ito,20,backward,3,-0.08241565892995753,122
primary,1230001,1,ito,20,backward,4,-0.04182751026069652,122
primary,1230001,1,ito,20,backward,5,-0.0311282882170481,122
primary,1230001,1,ito,20,backward,6,0.1609910860857327,122
primary,1230001,1,ito,20,backward,7,-0.17613919379355678,122
primary,1230001,1,ito,20,backward,8,-0.14715643148866936,122
primary,1230001,1,ito,20,backward,9,0.2099138718163628,122
primary,1230001,1,ito,20,backward,10,0.013479785912459883,122
primary,1230001,2,log,5,forward,1,-0.150601113691171,125
primary,1230001,2,log,5,forward,2,-0.14155268580778183,125
primary,1230001,2,log,5,forward,3,-0.11863240379874437,125
primary,1230001,2,log,5,forward,4,-0.11221450834394449,125
primary,1230001,2,log,5,forward,5,-0.13045866595714814,125
primary,1230001,2,log,5,forward,6,-0.11134806927355022,125
primary,1230001,2,log,5,forward,7,-0.1103678293314933,125
primary,1230001,2,log,5,forward,8,-0.07353807267357076,125
primary,1230001,2,log,5,forward,9,0.06197191546263698,125
primary,1230001,2,log,5,forward,10,0.8867414334147687,125
primary,1230001,2,log,5,backward,1,-0.12712784956016665,125
primary,1230001,2,log,5,backward,2,-0.1982661959148414,125
primary,1230001,2,log,5,backward,3,-0.24810911992449036,125
primary,1230001,2,log,5,backward,4,-0.045257236580620065,125
primary,1230001,2,log,5,backward,5,0.030879632850054208,125
primary,1230001,2,log,5,backward,6,-0.04827380564107278,125
primary,1230001,2,log,5,backward,7,-0.05971512701934064,125
primary,1230001,2,log,5,backward,8,0.24551105333177461,125
primary,1230001,2,log,5,backward,9,0.126159934743706,125
primary,1230001,2,log,5,backward,10,0.3241987137149977,125
primary,1230001,2,log,10,forward,1,-0.17650251031643072,124
primary,1230001,2,log,10,forward,2,-0.04871466039878352,124
primary,1230001,2,log,10,forward,3,-0.08115083358602966,124
primary,1230001,2,log,10,forward,4,-0.09678790266055975,124
primary,1230001,2,log,10,forward,5,-0.10194990299418737,124
primary,1230001,2,log,10,forward,6,-0.013673962539319615,124
primary,1230001,2,log,10,forward,7,-0.06365829057822488,124
primary,1230001,2,log,10,forward,8,-0.032735596104659447,124
primary,1230001,2,log,10,forward,9,-0.012718965853444921,124
primary,1230001,2,log,10,forward,10,0.6278926250316396,124
primary,1230001,2,log,10,backward,1,-0.16346574526748464,124
primary,1230001,2,log,10,backward,2,-0.18816623674989397,124
primary,1230001,2,log,10,backward,3,-0.1286346724227636,124
primary,1230001,2,log,10,backward,4,0.07279260075209802,124
primary,1230001,2,log,10,backward,5,0.15543845674361095,124
primary,1230001,2,log,10,backward,6,-0.006950204058828475,124
primary,1230001,2,log,10,backward,7,0.06438505537330365,124
primary,1230001,2,log,10,backward,8,-0.05685813057157462,124
primary,1230001,2,log,10,backward,9,-0.07518308968070854,124
primary,1230001,2,log,10,backward,10,0.32664196588224187,124
primary,1230001,2,log,20,forward,1,-0.3102536861479538,122
primary,1230001,2,log,20,forward,2,-0.05440703301043689,122
primary,1230001,2,log,20,forward,3,-0.16620396849032973,122
primary,1230001,2,log,20,forward,4,-0.019967988901696213,122
primary,1230001,2,log,20,forward,5,-0.14414629384637248,122
primary,1230001,2,log,20,forward,6,0.03173900205838865,122
primary,1230001,2,log,20,forward,7,0.18691632381205492,122
primary,1230001,2,log,20,forward,8,-0.053074494829838906,122
primary,1230001,2,log,20,forward,9,0.26819769666083376,122
primary,1230001,2,log,20,forward,10,0.2612004426953509,122
primary,1230001,2,log,20,backward,1,-0.2997134937696953,122
primary,1230001,2,log,20,backward,2,-0.1994443564603468,122
primary,1230001,2,log,20,backward,3,-0.11630397503661212,122
primary,1230001,2,log,20,backward,4,0.1621445221546657,122
primary,1230001,2,log,20,backward,5,-0.025382728749127254,122
primary,1230001,2,log,20,backward,6,0.04202404715186349,122
primary,1230001,2,log,20,backward,7,0.1995903904453992,122
primary,1230001,2,log,20,backward,8,0.3522246257265108,122
primary,1230001,2,log,20,backward,9,-0.09942373989851647,122
primary,1230001,2,log,20,backward,10,-0.01571529156414208,122
primary,1230001,2,ito,5,forward,1,-0.10954894439024257,125
primary,1230001,2,ito,5,forward,2,-0.1511811084555766,125
primary,1230001,2,ito,5,forward,3,-0.15191934902080598,125
primary,1230001,2,ito,5,forward,4,-0.13158125942861876,125
primary,1230001,2,ito,5,forward,5,-0.09989859806205775,125
primary,1230001,2,ito,5,forward,6,-0.09359934267715682,125
primary,1230001,2,ito,5,forward,7,-0.12320806902684073,125
primary,1230001,2,ito,5,forward,8,-0.06407855586824968,125
primary,1230001,2,ito,5,forward,9,0.03528025113356947,125
primary,1230001,2,ito,5,forward,10,0.8897349757959808,125
primary,1230001,2,ito,5,backward,1,-0.12921078338993183,125
primary,1230001,2,ito,5,backward,2,-0.1988423820383633,125
primary,1230001,2,ito,5,backward,3,-0.2496611733540266,125
primary,1230001,2,ito,5,backward,4,-0.045254692757497855,125
primary,1230001,2,ito,5,backward,5,0.03019272475592117,125
primary,1230001,2,ito,5,backward,6,-0.050743401247156976,125
primary,1230001,2,ito,5,backward,7,-0.057038636051933045,125
primary,1230001,2,ito,5,backward,8,0.2457297962860843,125
primary,1230001,2,ito,5,backward,9,0.12901261917854345,125
primary,1230001,2,ito,5,backward,10,0.32581592861836095,125
primary,1230001,2,ito,10,forward,1,-0.13441377038980862,124
primary,1230001,2,ito,10,forward,2,-0.06118159039622579,124
primary,1230001,2,ito,10,forward,3,-0.05703946179883574,124
primary,1230001,2,ito,10,forward,4,-0.11857541624700756,124
primary,1230001,2,ito,10,forward,5,-0.1262187911226724,124
primary,1230001,2,ito,10,forward,6,-0.04705692254410967,124
primary,1230001,2,ito,10,forward,7,0.011569714423492743,124
primary,1230001,2,ito,10,forward,8,-0.06055073502273418,124
primary,1230001,2,ito,10,forward,9,-0.0012596597549186302,124
primary,1230001,2,ito,10,forward,10,0.5947266328528193,124
primary,1230001,2,ito,10,backward,1,-0.16839398902827762,124
primary,1230001,2,ito,10,backward,2,-0.18923641901976762,124
primary,1230001,2,ito,10,backward,3,-0.130897277304293,124
primary,1230001,2,ito,10,backward,4,0.0739891329302266,124
primary,1230001,2,ito,10,backward,5,0.15602698967256592,124
primary,1230001,2,ito,10,backward,6,-0.005698170457694104,124
primary,1230001,2,ito,10,backward,7,0.06647135402852086,124
primary,1230001,2,ito,10,backward,8,-0.05724651363530641,124
primary,1230001,2,ito,10,backward,9,-0.07434825449629175,124
primary,1230001,2,ito,10,backward,10,0.3293331473103174,124
primary,1230001,2,ito,20,forward,1,-0.20481638080716816,122
primary,1230001,2,ito,20,forward,2,-0.1745330556091034,122
primary,1230001,2,ito,20,forward,3,-0.15462205754229877,122
primary,1230001,2,ito,20,forward,4,0.02846150970041999,122
primary,1230001,2,ito,20,forward,5,-0.12567051699067347,122
primary,1230001,2,ito,20,forward,6,-0.047270962406880904,122
primary,1230001,2,ito,20,forward,7,0.21802067120452412,122
primary,1230001,2,ito,20,forward,8,-0.07534288848578805,122
primary,1230001,2,ito,20,forward,9,0.26782748202218704,122
primary,1230001,2,ito,20,forward,10,0.267946198914782,122
primary,1230001,2,ito,20,backward,1,-0.31575838915542587,122
primary,1230001,2,ito,20,backward,2,-0.20987341888254765,122
primary,1230001,2,ito,20,backward,3,-0.12021826761830123,122
primary,1230001,2,ito,20,backward,4,0.16176775055651055,122
primary,1230001,2,ito,20,backward,5,-0.025755315386114426,122
primary,1230001,2,ito,20,backward,6,0.04846241945876279,122
primary,1230001,2,ito,20,backward,7,0.21238670633477993,122
