model,seed,path,return_type,window,method,forward,backward,zumbach,forward_count,backward_count
primary,1230001,2,ito,5,winsor_995,0.3744933790944109,0.22363661014600203,0.15085676894840885,1250,1250
primary,1230001,2,ito,5,winsor_990,0.35301372179267854,0.23616495729571896,0.11684876449695958,1250,1250
primary,1230001,2,ito,5,winsor_975,0.28677413204071356,0.2506937281959232,0.03608040384479033,1250,1250
primary,1230001,2,ito,5,winsor_950,0.23638130114948958,0.24159898090194357,-0.005217679752453991,1250,1250
primary,1230001,2,ito,5,trim_995,0.2318560565751004,0.20105096673684716,0.030805089838253225,1236,1236
primary,1230001,2,ito,5,trim_990,0.17367244108370952,0.20845455305960217,-0.03478211197589265,1227,1226
primary,1230001,2,ito,5,trim_975,0.12774217063262597,0.1976949547306573,-0.06995278409803132,1196,1193
primary,1230001,2,ito,5,trim_950,0.09215760583123414,0.15541440939123088,-0.06325680355999674,1142,1138
primary,1230001,2,ito,10,pearson,0.22607674300217287,0.07593105284600586,0.15014569015616702,1240,1240
primary,1230001,2,ito,10,spearman,0.1032535245724225,0.11672372567292758,-0.013470201100505078,1240,1240
primary,1230001,2,ito,10,gaussian_rank,0.11682814454790853,0.10875153276883483,0.008076611779073706,1240,1240
primary,1230001,2,ito,10,kendall,0.06788252753260954,0.07673722304668178,-0.008854695514072239,1240,1240
primary,1230001,2,ito,10,winsor_995,0.24047410338745656,0.09860296732102847,0.1418711360664281,1240,1240
primary,1230001,2,ito,10,winsor_990,0.24086060635522025,0.10328961423121275,0.1375709921240075,1240,1240
primary,1230001,2,ito,10,winsor_975,0.23188070220822213,0.12107040904166216,0.11081029316655996,1240,1240
primary,1230001,2,ito,10,winsor_950,0.18102206522836373,0.12552106843938649,0.05550099678897724,1240,1240
primary,1230001,2,ito,10,trim_995,0.17630338614673854,0.1132853500323391,0.06301803611439945,1226,1226
primary,1230001,2,ito,10,trim_990,0.16867594411362227,0.09875187296764695,0.06992407114597532,1214,1214
primary,1230001,2,ito,10,trim_975,0.08407971988634753,0.1030505907246397,-0.018970870838292173,1183,1179
primary,1230001,2,ito,10,trim_950,0.011222051632274018,0.07347786543062858,-0.062255813798354556,1130,1121
primary,1230001,2,ito,20,pearson,0.10465672264627474,0.07841339527211932,0.026243327374155412,1220,1220
primary,1230001,2,ito,20,spearman,0.19910924202536515,0.15822657680401864,0.04088266522134651,1220,1220
primary,1230001,2,ito,20,gaussian_rank,0.18251468029568044,0.15266657634522512,0.029848103950455313,1220,1220
primary,1230001,2,ito,20,kendall,0.13151602361516426,0.10280934385884695,0.028706679756317313,1220,1220
primary,1230001,2,ito,20,winsor_995,0.10634142113916493,0.08171653511194239,0.024624886027222542,1220,1220
primary,1230001,2,ito,20,winsor_990,0.11516149461093392,0.09022071993259015,0.02494077467834377,1220,1220
primary,1230001,2,ito,20,winsor_975,0.1450243183163424,0.11416302038614494,0.03086129793019747,1220,1220
primary,1230001,2,ito,20,winsor_950,0.1836748908177311,0.1496149077719623,0.03405998304576882,1220,1220
primary,1230001,2,ito,20,trim_995,0.1241218707492867,0.10542182135081642,0.01870004939847028,1206,1206
primary,1230001,2,ito,20,trim_990,0.14311170593555897,0.1290658845866807,0.014045821348878273,1194,1194
primary,1230001,2,ito,20,trim_975,0.22570218184306845,0.12979380014891875,0.0959083816941497,1158,1158
primary,1230001,2,ito,20,trim_950,0.20819954398567025,0.1670605866814486,0.04113895730422165,1104,1098
primary,1230001,3,log,5,pearson,0.40519512671895397,0.15346929528705933,0.25172583143189464,1250,1250
primary,1230001,3,log,5,spearman,0.2211571908846022,0.19565179625714962,0.025505394627452577,1250,1250
primary,1230001,3,log,5,gaussian_rank,0.24516013122897848,0.18722050384760214,0.05793962738137634,1250,1250
primary,1230001,3,log,5,kendall,0.15033210568454763,0.13287942353883106,0.017452682145716575,1250,1250
primary,1230001,3,log,5,winsor_995,0.41275059307768197,0.18882107918420035,0.22392951389348162,1250,1250
primary,1230001,3,log,5,winsor_990,0.3993143311900094,0.21757366943907352,0.1817406617509359,1250,1250
primary,1230001,3,log,5,winsor_975,0.35948051038609846,0.220802451601874,0.13867805878422446,1250,1250
primary,1230001,3,log,5,winsor_950,0.3286629256641138,0.2054499187939377,0.12321300687017611,1250,1250
primary,1230001,3,log,5,trim_995,0.31871729246472263,0.16725031863210604,0.1514669738326166,1237,1236
primary,1230001,3,log,5,trim_990,0.2820296625223336,0.18271004091778698,0.0993196216045466,1228,1224
primary,1230001,3,log,5,trim_975,0.17713059616168342,0.13767193892667637,0.03945865723500705,1193,1190
primary,1230001,3,log,5,trim_950,0.15200814542146807,0.1257183126091203,0.026289832812347758,1145,1137
primary,1230001,3,log,10,pearson,0.3606337841274007,0.12310358066584869,0.23753020346155201,1240,1240
primary,1230001,3,log,10,spearman,0.16119743163036615,0.17376085870285113,-0.012563427072484978,1240,1240
primary,1230001,3,log,10,gaussian_rank,0.22886597111985948,0.18600617043599324,0.042859800683866245,1240,1240
primary,1230001,3,log,10,kendall,0.10846416204535396,0.11805306048061652,-0.00958889843526256,1240,1240
primary,1230001,3,log,10,winsor_995,0.3845594459150668,0.1318398039922378,0.25271964192282903,1240,1240
primary,1230001,3,log,10,winsor_990,0.3898852567016067,0.13664030765076565,0.25324494905084105,1240,1240
primary,1230001,3,log,10,winsor_975,0.37588007232313275,0.16682937863078584,0.2090506936923469,1240,1240
primary,1230001,3,log,10,winsor_950,0.3429988035288379,0.1769191252108397,0.1660796783179982,1240,1240
primary,1230001,3,log,10,trim_995,0.3202446384056383,0.10344292144398114,0.21680171696165718,1226,1226
primary,1230001,3,log,10,trim_990,0.2829997393109995,0.09998166411928214,0.18301807519171734,1215,1214
primary,1230001,3,log,10,trim_975,0.21912195279722094,0.16590679318834387,0.05321515960887707,1184,1179
primary,1230001,3,log,10,trim_950,0.08058555196612126,0.12953347393519601,-0.048947921969074756,1136,1122
primary,1230001,3,log,20,pearson,0.2213570448264059,0.22309134869488936,-0.0017343038684834722,1220,1220
primary,1230001,3,log,20,spearman,0.06398266488100939,0.2423222382232051,-0.1783395733421957,1220,1220
primary,1230001,3,log,20,gaussian_rank,0.09537147918274572,0.22960055230318385,-0.13422907312043814,1220,1220
primary,1230001,3,log,20,kendall,0.04156591670140804,0.1649349776086284,-0.12336906090722037,1220,1220
primary,1230001,3,log,20,winsor_995,0.2257012231219432,0.22563733690068213,6.388622126107801e-05,1220,1220
primary,1230001,3,log,20,winsor_990,0.2360322679367787,0.2311450192548767,0.00488724868190199,1220,1220
primary,1230001,3,log,20,winsor_975,0.21835157580171116,0.22705306968154537,-0.00870149387983421,1220,1220
primary,1230001,3,log,20,winsor_950,0.19321928979429867,0.24825363522585958,-0.05503434543156091,1220,1220
primary,1230001,3,log,20,trim_995,0.23509430746506374,0.22207580753639164,0.0130184999286721,1206,1206
primary,1230001,3,log,20,trim_990,0.1970982758099072,0.20127519707068944,-0.004176921260782257,1194,1194
primary,1230001,3,log,20,trim_975,0.0500334401904871,0.18487896701159717,-0.13484552682111006,1162,1158
primary,1230001,3,log,20,trim_950,0.017906382391677873,0.16692238303632947,-0.1490160006446516,1111,1101
primary,1230001,3,ito,5,pearson,0.4031347755132286,0.1524180991325204,0.2507166763807082,1250,1250
primary,1230001,3,ito,5,spearman,0.21884958287973308,0.19901041600666627,0.019839166873066805,1250,1250
primary,1230001,3,ito,5,gaussian_rank,0.24490313782710876,0.1853246104043636,0.059578527422745164,1250,1250
