model,seed,path,return_type,window,direction,positive_covariance_share_tail_950,positive_covariance_share_tail_975,positive_covariance_share_tail_990,positive_covariance_share_tail_995
primary,1270009,4,log,20,backward,0.40749908369040666,0.20547039834313457,0.1024840765590152,0.05762580536902859
primary,1270009,4,ito,5,forward,0.6912242430446274,0.6092490691171765,0.4501148083301349,0.4029079646319872
primary,1270009,4,ito,5,backward,0.5447620072936166,0.3709900465629903,0.2075486459149775,0.11742814968350292
primary,1270009,4,ito,10,forward,0.707995647346803,0.6668481841400955,0.5430640118830707,0.31931847378853234
primary,1270009,4,ito,10,backward,0.4708361073246651,0.33731292672055835,0.21511868363981854,0.03455213710592522
primary,1270009,4,ito,20,forward,0.7647276367724097,0.669465225109525,0.3937421617754331,0.22026438429562872
primary,1270009,4,ito,20,backward,0.37607517226730247,0.19930393912314623,0.09680651711554007,0.0573916593424114
primary,1270009,5,log,5,forward,0.8126253612596567,0.7880485173458066,0.6920023127092677,0.6705871100674878
primary,1270009,5,log,5,backward,0.7035449021795472,0.666736284052459,0.5728506162314333,0.5538037068604175
primary,1270009,5,log,10,forward,0.7661145198214931,0.7253476734216591,0.6719125527270227,0.5814294364701621
primary,1270009,5,log,10,backward,0.4999253417101818,0.44278925573288047,0.4070075515614241,0.24708482873577586
primary,1270009,5,log,20,forward,0.6874190425221932,0.6725151355624731,0.5593457892103499,0.44801029272104176
primary,1270009,5,log,20,backward,0.24706330107656885,0.19695055782442675,0.05657540384585528,0.008640008471991258
primary,1270009,5,ito,5,forward,0.8121794886335552,0.7870345217272823,0.6922329688630062,0.6709914648882583
primary,1270009,5,ito,5,backward,0.703592805391414,0.65657277283978,0.5755921868623523,0.55565166911392
primary,1270009,5,ito,10,forward,0.7649840022279232,0.723190634378873,0.6718926776700548,0.5815008712440068
primary,1270009,5,ito,10,backward,0.4971975381187336,0.4408960789779833,0.40464174531932184,0.2435860461908819
primary,1270009,5,ito,20,forward,0.6864445824262693,0.671267989597388,0.5584539973666067,0.44892727139976973
primary,1270009,5,ito,20,backward,0.25577833185382337,0.2023181586598742,0.057759467306061955,0.0117416274289959
primary,1270009,6,log,5,forward,0.6966704160397712,0.5673602181502516,0.30245931411549093,0.14579541976257324
primary,1270009,6,log,5,backward,0.42923290883434123,0.24181096643299566,0.13524912470145864,0.130998703848611
primary,1270009,6,log,10,forward,0.5804666201480374,0.44706836204546524,0.2854308025744191,0.1180832166361265
primary,1270009,6,log,10,backward,0.3953977606585606,0.2760580749276451,0.022512190501824146,0.021151726667898444
primary,1270009,6,log,20,forward,0.5544057670877741,0.4832834072557046,0.35322950010664406,0.2536500974109389
primary,1270009,6,log,20,backward,0.4144247111008089,0.28413241658890237,0.10868852385031742,0.07223259449035571
primary,1270009,6,ito,5,forward,0.6943619173912223,0.581293838799171,0.30179097068195565,0.14444850875048795
primary,1270009,6,ito,5,backward,0.42106154667666784,0.24087929005166328,0.13439539347881896,0.13036565251680574
primary,1270009,6,ito,10,forward,0.5800212739277287,0.4398566463754966,0.2789402741039033,0.11371343690830785
primary,1270009,6,ito,10,backward,0.37888470505734495,0.2669019024059868,0.024162767095571646,0.02388563743591349
primary,1270009,6,ito,20,forward,0.5515461379443418,0.47519244068449923,0.3481462312412105,0.25151864097934545
primary,1270009,6,ito,20,backward,0.4092253892544736,0.28052511934416097,0.11278920198211134,0.07635603559240291
primary,1270009,7,log,5,forward,0.701757064309433,0.6496901953867572,0.5314262395034426,0.4405319934148743
primary,1270009,7,log,5,backward,0.4627019371093284,0.401355109508468,0.2749945231622566,0.1645643754369755
primary,1270009,7,log,10,forward,0.6664756433344724,0.5868133092234407,0.4568480256601851,0.36508000430886894
primary,1270009,7,log,10,backward,0.508345700994834,0.4282661804983326,0.30343147563715184,0.21858310073349627
primary,1270009,7,log,20,forward,0.5652566089533889,0.48848213257225964,0.41218623066489396,0.26362286231120585
primary,1270009,7,log,20,backward,0.2772613581682211,0.21557512548443028,0.11856369962100995,0.003616697865869285
primary,1270009,7,ito,5,forward,0.6965437792571259,0.6467601351643132,0.5261707800534924,0.4371704134971459
primary,1270009,7,ito,5,backward,0.4652143161879316,0.40174788458761546,0.28603924854496576,0.16037400058305054
primary,1270009,7,ito,10,forward,0.6591790740443696,0.5841748566895074,0.4479266432165659,0.36056855330700577
primary,1270009,7,ito,10,backward,0.5126446992315763,0.4232135019263,0.30046561879619266,0.2226310210585456
primary,1270009,7,ito,20,forward,0.5607820900150496,0.46458416372077926,0.4056806755445045,0.2588207569472823
primary,1270009,7,ito,20,backward,0.2882705178415238,0.22929848529668573,0.12193583230939635,0.0021829569152188133
primary,1270009,8,log,5,forward,0.8476492712339455,0.8059293493750218,0.7677857697553386,0.7467299515990603
primary,1270009,8,log,5,backward,0.6703635241311044,0.6218847480888507,0.5754583016707722,0.5639117794364171
primary,1270009,8,log,10,forward,0.7905990379349377,0.7663517685495286,0.7135225347597021,0.6872363832397447
primary,1270009,8,log,10,backward,0.4948358452436342,0.43653210097258405,0.27905453685928955,0.15371258639498805
primary,1270009,8,log,20,forward,0.6291676629325799,0.5898468948528721,0.5599040324782256,0.32201699281982804
primary,1270009,8,log,20,backward,0.4340206070903711,0.35826072427061895,0.21452074960387466,0.14206172807628129
primary,1270009,8,ito,5,forward,0.8462397088704805,0.8034808158531349,0.7674340885928659,0.7441716686012895
primary,1270009,8,ito,5,backward,0.6711972407260233,0.6214970358749303,0.5735869324506643,0.5615237253855541
primary,1270009,8,ito,10,forward,0.7879981960565748,0.7642416771226894,0.7072324747349215,0.6864255361457944
primary,1270009,8,ito,10,backward,0.498558797935379,0.44048517776770435,0.27101027555368934,0.1621393940022871
primary,1270009,8,ito,20,forward,0.6256862211140356,0.5850237026923701,0.5545382767113853,0.3186461085571236
primary,1270009,8,ito,20,backward,0.4281613568720454,0.35910612260546093,0.20963236235274035,0.13893426744346968
primary,1270009,9,log,5,forward,0.7024040026142045,0.6308070371972841,0.5042670852065861,0.4156734516865426
primary,1270009,9,log,5,backward,0.6470079685865407,0.5971428596084655,0.49046108186881027,0.4254549178826097
primary,1270009,9,log,10,forward,0.5677116484108958,0.4897028583505292,0.2580401076680539,0.16869981589546723
primary,1270009,9,log,10,backward,0.5464124048190253,0.436047971347642,0.34450968776959867,0.2699616984606201
primary,1270009,9,log,20,forward,0.4187098742604863,0.27286402931215803,0.08882971152747197,0.06043328440787684
primary,1270009,9,log,20,backward,0.2181746314926989,0.1079494516051733,0.03758556889273291,0.006293002643312661
primary,1270009,9,ito,5,forward,0.7008246434314933,0.6295553581664914,0.5034481452897128,0.41569126787701605
primary,1270009,9,ito,5,backward,0.6484659318097102,0.597554551279743,0.4870046670437036,0.4229468308808963
primary,1270009,9,ito,10,forward,0.5634620553618396,0.4872050938395733,0.22972047937113535,0.1684073710595977
primary,1270009,9,ito,10,backward,0.5493453797303244,0.4393329434103616,0.33704915597637963,0.26947269806242163
primary,1270009,9,ito,20,forward,0.4080586669462156,0.2611979225112838,0.08806611466486,0.059786671012455994
primary,1270009,9,ito,20,backward,0.2167428830193071,0.10759747758844271,0.042743849242022264,0.006090157345206905
