variant,metric,seed_count,mean,between_seed_sd,between_seed_se,ci_lower,ci_upper,seed_min,seed_max,pooled_q10,pooled_median,pooled_q90
M3,q995_volatility,5,0.5963056890301788,0.008656204358033916,0.0038711722743387527,0.5855575917177135,0.6070537863426441,0.5839998190490402,0.6040452132223502,0.5743371592296278,0.5969784205684203,0.6172619830711412
M3,q_forward_mean_max_error,5,2.0860049798621106e-17,5.938419867664178e-20,2.6557421006064813e-20,2.078631457706214e-17,2.093378502018007e-17,2.076247160309741e-17,2.0925101928970236e-17,2.0816681711721685e-17,2.0816681711721685e-17,2.0816681711721685e-17
M3,p_cap_exceedance_fraction,5,9.41254684744268e-05,3.5581253183522945e-05,1.591242016859762e-05,4.994550738547329e-05,0.0001383054295633803,6.178867669753087e-05,0.00013918599123677246,1.3778659611992945e-05,5.511463844797178e-05,0.000248015873015873
M3,q_cap_exceedance_fraction,5,0.00014004715746252205,4.917403601509901e-05,2.199129745155685e-05,7.898952729619832e-05,0.0002011047876288458,9.526651372354496e-05,0.00020140525104717812,1.3778659611992945e-05,8.267195767195767e-05,0.0003720238095238095
M2+O,acceptance_rate,5,0.646875,0.3357284960304606,0.15014234782157565,0.2300130133078817,1.0637369866921182,0.0546875,0.875,0.0,1.0,1.0
M2+O,mean_distance,5,0.002071799635102829,0.00394431654117486,0.0017639519821687668,-0.002825716211593589,0.0069693154817992466,8.550316868007761e-05,0.009113911960016331,0.0,0.0,0.0041634392239753995
M2+O,max_abs_return_acf,5,0.07572156712471559,0.004264888702799518,0.0019073162111861238,0.07042600836610348,0.0810171258833277,0.06914000291183173,0.08048049064296797,0.06848185192529789,0.07598904225448211,0.0812033785918495
M2+O,mean_log_variance_acf,5,0.21761112282787504,0.021835353957001893,0.00976506715212505,0.19049894993142968,0.2447232957243204,0.19938888033740204,0.25460611200731836,0.17871501760728922,0.21407711379394992,0.26740085878862097
M2+O,rough_hurst,5,0.07771530367210396,0.006647621214154521,0.002972906584703839,0.06946119173679269,0.08596941560741522,0.06626626047956435,0.08272833763893273,0.06419540643049533,0.07707211953487836,0.09376085709843605
M2+O,leverage,5,-0.05294354838013478,0.010722607138971732,0.004795295691753065,-0.06625742363147864,-0.03962967312879091,-0.06550355543712137,-0.03834329131233832,-0.06596035560368442,-0.05297484032932081,-0.03925157803959217
M2+O,leverage_rank,5,-0.016176423244772357,0.005748355949309984,0.002570742932304492,-0.023313949875890985,-0.00903889661365373,-0.022896095804769014,-0.009362017341012847,-0.02443873475438365,-0.015917980740014936,-0.00863631411653162
