structural_scenario_id,candidate_id,variant,seed_pass_fraction,mean_distance,rough_hurst,leverage_rank,zumbach_rank,excess_kurtosis,max_abs_return_acf,mean_log_variance_acf,p_cap_exceedance_fraction,passes_majority,passes_80pct,passes_all_seeds
1,2,M3,0.8,0.00048070066589998373,0.07779854085209853,-0.01842993129472493,0.05931451469466305,7.3070481447701825,0.07170837654614835,0.2258907234480946,1.9290123456790123e-05,True,True,False
3,21,M3,0.8,0.0004824967995957723,0.07828240450568172,-0.015174021202260449,0.03466668258513546,11.262883737233645,0.07765205625277453,0.20051428114909992,4.409171075837742e-05,True,True,False
3,23,M3,0.8,0.0005253083166909063,0.0775199492193432,-0.015869937613410396,0.03663864589896531,10.69907580872816,0.0766761563781746,0.20941257479637407,0.00026179453262786595,True,True,False
3,9,M3,0.8,0.000536254926367574,0.07794842843090342,-0.01644233654828043,0.03974159103306445,10.326877899027544,0.07610170445892721,0.19628122997732067,0.00010747354497354496,True,True,False
0,2,M3,0.8,0.000538206559689043,0.07774380296191429,-0.018795936554668897,0.05720764365407428,7.3527766436243525,0.0718894712232846,0.22579163646347786,1.9290123456790123e-05,True,True,False
2,30,M3,0.8,0.0005502256433347654,0.07787430414229898,-0.01856643934910626,0.054974186397433435,7.797936393442546,0.07234217964014725,0.2047475573507424,1.1022927689594355e-05,True,True,False
2,0,M3,0.8,0.0005576931060044222,0.07720731114118029,-0.01717221211283541,0.04587407610680854,8.55353299200271,0.07355236672418844,0.2309881151234133,1.9290123456790123e-05,True,True,False
1,30,M3,0.8,0.0005734333756798321,0.07802696802981485,-0.018221832397536226,0.06003424083369284,7.838669497889578,0.07267724837566511,0.2040290740710947,8.267195767195766e-06,True,True,False
3,24,M3,0.8,0.0005734643347982442,0.07738176808687916,-0.016133443822205554,0.03412455693614278,11.221093472636037,0.07774311771935813,0.20225919881259227,0.00033619929453262786,True,True,False
1,0,M3,0.8,0.0005746169380551066,0.07741013674295559,-0.01692100782960218,0.05027167037818738,8.60273718362954,0.07384812315465436,0.2303397458844568,1.9290123456790123e-05,True,True,False
1,21,M3,0.8,0.0005803936664857977,0.07842262901087368,-0.01515948053932561,0.04134847020568693,11.371442089492932,0.07815289300449554,0.19877950200935907,5.7870370370370366e-05,True,True,False
2,21,M3,0.8,0.0006028505254990289,0.07825425138345202,-0.015248793333602217,0.03658711485022643,11.32811904518702,0.07790942571677742,0.19974111940459588,5.511463844797178e-05,True,True,False
1,9,M3,0.8,0.0006350273675692111,0.07809675523857307,-0.016288876156144126,0.04684963831674036,10.425682617515326,0.0766904403842995,0.19470726934222923,0.00011298500881834215,True,True,False
1,23,M3,0.8,0.0006368104804634891,0.07773301262947278,-0.015776158574501507,0.04325885354378119,10.823759734129347,0.0771725461700682,0.2080169597690567,0.00028659611992945327,True,True,False
2,23,M3,0.8,0.0006465345937822877,0.07752140695355848,-0.015914360270845924,0.038606098410932245,10.771177687511033,0.07694438101101145,0.20874176758826044,0.0002728174603174603,True,True,False
0,30,M3,0.8,0.0006519465681905926,0.07796864035191778,-0.018580066863659064,0.057811082626038346,7.884973389450994,0.07286168298489847,0.20401690103868733,1.1022927689594355e-05,True,True,False
0,0,M3,0.8,0.0006524732844063886,0.07734488398036052,-0.017232160578028163,0.04814541881101571,8.653088287150613,0.07411702631549538,0.23023653762952914,1.9290123456790123e-05,True,True,False
2,9,M3,0.8,0.0006580944563848109,0.07792525648509836,-0.01649350443838374,0.04188332215488398,10.395209027726498,0.07640076675855367,0.19557518513919137,0.00011849647266313933,True,True,False
0,21,M3,0.8,0.0007047853154680433,0.07833503986770568,-0.015403443319700455,0.038997326797361356,11.43088189309128,0.07852096180824,0.1988272951880047,5.511463844797178e-05,True,True,False
1,24,M3,0.8,0.000705788024590344,0.07757634486711174,-0.016102408202390877,0.04073039747811595,11.343514961314106,0.07818078351317119,0.20081310519157175,0.00034171075837742505,True,True,False
2,24,M3,0.8,0.0007073894344862632,0.07737595056286647,-0.01620305553416249,0.03605813581269986,11.289811426526198,0.07800367306137024,0.20158679414688038,0.0003444664902998236,True,True,False
3,27,M3,0.8,0.0007210157140456154,0.07600551168360656,-0.016414770108187586,0.039208637255139824,9.305500025008,0.07446262748522348,0.23080712150913713,3.8580246913580246e-05,True,True,False
0,23,M3,0.8,0.0007527784428986474,0.07763725329816187,-0.016058561861094073,0.040936818157446334,10.882772918804372,0.07751464475589347,0.2079788378091873,0.0002976190476190476,True,True,False
3,20,M3,0.8,0.0007540207705191528,0.07492251814469518,-0.017755900188092866,0.04132052910893106,8.010125851189198,0.07260263331394948,0.2501311063369417,1.9290123456790123e-05,True,True,False
1,3,M3,0.8,0.0007585983328529109,0.07730487501144072,-0.014558602679958205,0.0357935660981217,12.085493910589815,0.0791880030008947,0.21136166764505676,0.00010196208112874779,True,True,False
0,9,M3,0.8,0.0007598928421423489,0.07801059993338334,-0.016588985372501613,0.04448187815552071,10.492913557662046,0.07703356834533477,0.19474621933771588,0.0001240079365079365,True,True,False
2,3,M3,0.8,0.0007870956480965577,0.07708849432830847,-0.01459731770476148,0.03151111493541912,12.052863890157374,0.07906588487090796,0.21219688265204728,8.818342151675484e-05,True,True,False
0,24,M3,0.8,0.0008269320784549218,0.07748340067461165,-0.016375752920537993,0.0383355336868165,11.404057683974456,0.07857325194969811,0.20082237960422647,0.00035824514991181656,True,True,False
2,27,M3,0.8,0.0008485247098919555,0.07603678390146264,-0.016435489130607835,0.04126705438473029,9.373910352456518,0.07464235175627636,0.23012866167306162,4.1335978835978834e-05,True,True,False
1,27,M3,0.8,0.0008534588222449985,0.07625724395939562,-0.016222569911233817,0.04549950730383717,9.4123938464702,0.07493535668570156,0.2294764036943932,4.96031746031746e-05,True,True,False
3,10,M3,0.8,0.0008564784402188121,0.07587473322874598,-0.017732265411549673,0.04016206282430017,9.5509688126379,0.07480277454858689,0.20943659992695335,0.00018187830687830687,True,True,False
2,20,M3,0.8,0.0008751250733326143,0.07497900531328604,-0.0177375341198533,0.04327242708340022,8.081380557186458,0.07269787117409789,0.24950013205070612,1.9290123456790123e-05,True,True,False
0,3,M3,0.8,0.0008979742880367063,0.07720759077210805,-0.014793511186164307,0.033572499636388656,12.151609714672146,0.07959086290278555,0.2113444796782611,9.645061728395061e-05,True,True,False
