stage,seed,scenario_id,candidate_id,accepted,distance,feedback_asset_correlation,spike_asset_correlation,p_cap_exceedance_fraction,q_forward_mean_max_error,mean_volatility,q995_volatility,excess_kurtosis,absolute_return_tail_ratio,hill_tail_index,hill_threshold_instability,rough_hurst,zumbach,zumbach_rank,max_abs_return_acf,leverage,leverage_rank,mean_log_variance_acf,taylor_gap,taylor_fraction,ito_zumbach,ito_zumbach_rank
search,1100003,0,49,False,0.0006689466242950252,0.996259961884662,0.9790548338377681,4.0690104166666664e-05,2.0816681711721685e-17,0.1670991474638701,0.41216597421189277,5.498034188217435,3.5519015783238377,2.93902332121941,0.2845973447917244,0.1107976189426329,0.14932274412775054,-0.00013044145090833088,0.08595223267806101,-0.08652791492125386,-0.044239608125757855,0.22884351904606992,0.024266989882225812,0.84375,0.14500908329061024,-0.0055638983834593175
search,1100003,0,50,True,0.0,0.996259961884662,0.9790548338377681,0.0003952752976190476,2.0816681711721685e-17,0.1546103693305373,0.43773840541909675,6.3008684208981816,3.696059703501763,2.9204229052630755,0.4807771847602113,0.1414288588743835,0.19651543299205632,0.0416176760845154,0.09215385529608333,-0.07122407029749692,-0.025169736557035687,0.23250802255013775,0.0331945093623829,0.825,0.1927967482887058,0.037791321450811745
search,1100003,0,51,True,0.0,0.996259961884662,0.9790548338377681,4.262772817460317e-05,2.0816681711721685e-17,0.16439925952116216,0.42181143526474985,5.679043303456737,3.5270908068925566,3.087917245061285,0.517230965908956,0.12364291686057427,0.1748990019613535,0.03749943733214242,0.08843742609875653,-0.06469630791577344,-0.020887941547822742,0.2469007375924212,0.026811998682613282,0.8374999999999999,0.17146840601013252,0.033463752734294056
search,1100003,0,52,False,0.0026658371942417922,0.996259961884662,0.9790548338377681,0.0011761377728174603,2.7755575615628914e-17,0.14657524737541439,0.4397558240155007,7.212216695883755,3.7789882884672212,2.7972893259804072,0.4629024138265343,0.1636082588240675,0.18936459282314055,-0.004032627714603045,0.09456564502296558,-0.09846113127689746,-0.038771668001378864,0.27688856358090996,0.049687180276920956,0.9,0.18502040579041296,-0.009206308521651572
search,1100003,0,53,False,0.0005267909704102476,0.996259961884662,0.9790548338377681,0.0015210348462301587,2.0816681711721685e-17,0.14729848214999436,0.43558410420385607,7.3398177239153615,3.7653199712672425,2.813417071636981,0.4867776342207062,0.1423297081674894,0.18432572629901658,0.0015731224832931851,0.09165050877566974,-0.09379095923442629,-0.03516498539177794,0.25187752382449236,0.04713781969127237,0.89375,0.18058555292597148,-0.003105631247219515
search,1100003,0,54,False,2.5734946501848728e-05,0.996259961884662,0.9790548338377681,9.688120039682539e-06,2.0816681711721685e-17,0.17004941772392973,0.42660231404234794,4.6331551497032955,3.3769074497498126,3.2876684425915936,0.44544762937546933,0.16045656660704105,0.18329214267578603,0.04727977387771537,0.08862779992903275,-0.06819365377299878,-0.026568968946147492,0.2938752733697172,0.021811414393208946,0.8,0.17892563292964306,0.04278204148368506
search,1100003,0,55,True,0.0,0.996259961884662,0.9790548338377681,0.0008331783234126984,2.0816681711721685e-17,0.1453469551120804,0.44155449959902954,7.100617130353227,3.790380074670211,2.838178912219927,0.4984778624285904,0.14378285953158934,0.19987344462059028,0.031107151705662795,0.09282370706273732,-0.07623749380040075,-0.025019067079070017,0.23254724250583267,0.0413681171348556,0.8625,0.19627025769691447,0.027109158946807217
search,1100003,0,56,True,0.0,0.996259961884662,0.9790548338377681,5.231584821428571e-05,2.0816681711721685e-17,0.16698232231157056,0.41730536321098843,5.024012864322902,3.5253805914905683,3.020019099011006,0.39807450900666125,0.1390114408556787,0.17860355235648442,0.02106443216823018,0.08677710200826466,-0.09112071671554484,-0.04481545858194862,0.25101822604144586,0.024249520075444467,0.80625,0.17381250109794927,0.015366908956507054
search,1100003,0,57,True,0.0,0.996259961884662,0.9790548338377681,0.00031001984126984125,2.0816681711721685e-17,0.16421314472900783,0.41752515810154994,5.483354898055022,3.5890423618552125,2.9803305608862902,0.3906437904662419,0.11972948425464791,0.1821129603694237,0.03014918820774208,0.08525986643036462,-0.0825274254789953,-0.037420024535460325,0.21424594317237178,0.0250149608606271,0.8187500000000001,0.1782273141901095,0.025028542159842796
search,1100003,0,58,False,0.003781821679147476,0.996259961884662,0.9790548338377681,7.16920882936508e-05,2.0816681711721685e-17,0.1561930656112479,0.4348557573052911,6.010500414847145,3.658010631632995,3.059673009415283,0.5568130651690031,0.16553388247510153,0.18800460681802475,0.014386779070578816,0.09255097004169348,-0.09052994298113377,-0.03953343994628553,0.2756930519238285,0.03659061627367428,0.8625,0.18313622080637748,0.009099729284260807
search,1100003,0,59,False,0.00177165900258635,0.996259961884662,0.9790548338377681,0.0002925812251984127,2.0816681711721685e-17,0.15655586188756915,0.4211383325597671,6.846785962636081,3.6855207024648644,2.856834626412078,0.398159985632483,0.1138399876807698,0.14687541701725473,-0.00962328170979883,0.08889195171025831,-0.08529321641105259,-0.035143654375863476,0.2411455711772658,0.03757679705514846,0.8937499999999999,0.14334542810818218,-0.014421531919168418
